,date,value_og
125,1990-07-01,6942.0
126,1990-08-01,6852.0
127,1990-09-01,6843.0
128,1990-10-01,6853.0
129,1990-11-01,6836.0
130,1990-12-01,6831.0
131,1991-01-01,6823.0
132,1991-02-01,6810.0
133,1991-03-01,6821.0
134,1991-04-01,6828.0
135,1991-05-01,6714.0
136,1991-06-01,6701.0
137,1991-07-01,6697.0
138,1991-08-01,6696.0
139,1991-09-01,6684.0
140,1991-10-01,6695.0
141,1991-11-01,6702.0
142,1991-12-01,6696.0
143,1992-01-01,6695.0
144,1992-02-01,6699.0
145,1992-03-01,6706.0
146,1992-04-01,6710.0
147,1992-05-01,6689.0
148,1992-06-01,6677.0
149,1992-07-01,6668.0
150,1992-08-01,6675.0
151,1992-09-01,6668.0
152,1992-10-01,6675.0
153,1992-11-01,6676.0
154,1992-12-01,6677.0
155,1993-01-01,6685.0
156,1993-02-01,6680.0
157,1993-03-01,6673.0
158,1993-04-01,6697.0
159,1993-05-01,6583.0
160,1993-06-01,6587.0
161,1993-07-01,6600.0
162,1993-08-01,6604.0
163,1993-09-01,6611.0
164,1993-10-01,6634.0
165,1993-11-01,6661.0
166,1993-12-01,6668.0
167,1994-01-01,6667.0
168,1994-02-01,6681.0
169,1994-03-01,6675.0
170,1994-04-01,6688.0
171,1994-05-01,6775.0
172,1994-06-01,6792.0
173,1994-07-01,6801.0
174,1994-08-01,6803.0
175,1994-09-01,6793.0
176,1994-10-01,6787.0
177,1994-11-01,6791.0
178,1994-12-01,6793.0
179,1995-01-01,6792.0
180,1995-02-01,6782.0
181,1995-03-01,6795.0
182,1995-04-01,6796.0
183,1995-05-01,6916.0
184,1995-06-01,6934.0
185,1995-07-01,6941.0
186,1995-08-01,6950.0
187,1995-09-01,6955.0
188,1995-10-01,6974.0
189,1995-11-01,6990.0
190,1995-12-01,6999.0
191,1996-01-01,7009.0
192,1996-02-01,7028.0
193,1996-03-01,7044.0
194,1996-04-01,7060.0
195,1996-05-01,6960.0
196,1996-06-01,6974.0
197,1996-07-01,6987.0
198,1996-08-01,7007.0
199,1996-09-01,7005.0
200,1996-10-01,7029.0
201,1996-11-01,7041.0
202,1996-12-01,7053.0
203,1997-01-01,7063.0
204,1997-02-01,7078.0
205,1997-03-01,7094.0
206,1997-04-01,7118.0
207,1997-05-01,7030.0
208,1997-06-01,7043.0
209,1997-07-01,7064.0
210,1997-08-01,7065.0
211,1997-09-01,7075.0
212,1997-10-01,7102.0
213,1997-11-01,7125.0
214,1997-12-01,7155.0
215,1998-01-01,7176.0
216,1998-02-01,7190.0
217,1998-03-01,7221.0
218,1998-04-01,7248.0
219,1998-05-01,7306.0
220,1998-06-01,7340.0
221,1998-07-01,7366.0
222,1998-08-01,7381.0
223,1998-09-01,7395.0
224,1998-10-01,7410.0
225,1998-11-01,7438.0
226,1998-12-01,7467.0
227,1999-01-01,7481.0
228,1999-02-01,7488.0
229,1999-03-01,7505.0
230,1999-04-01,7524.0
231,1999-05-01,7626.0
232,1999-06-01,7642.0
233,1999-07-01,7652.0
234,1999-08-01,7655.0
235,1999-09-01,7647.0
236,1999-10-01,7661.0
237,1999-11-01,7675.0
238,1999-12-01,7690.0
239,2000-01-01,7678.0
240,2000-02-01,7689.0
241,2000-03-01,7689.0
242,2000-04-01,7696.0
243,2000-05-01,7607.0
244,2000-06-01,7593.0
245,2000-07-01,7596.0
246,2000-08-01,7614.0
247,2000-09-01,7622.0
248,2000-10-01,7637.0
249,2000-11-01,7648.0
250,2000-12-01,7664.0
251,2001-01-01,7689.0
252,2001-02-01,7692.0
253,2001-03-01,7706.0
254,2001-04-01,7716.0
255,2001-05-01,7648.0
256,2001-06-01,7639.0
257,2001-07-01,7626.0
258,2001-08-01,7623.0
259,2001-09-01,7635.0
260,2001-10-01,7633.0
261,2001-11-01,7636.0
262,2001-12-01,7634.0
263,2002-01-01,7636.0
264,2002-02-01,7626.0
265,2002-03-01,7618.0
266,2002-04-01,7634.0
267,2002-05-01,7743.0
268,2002-06-01,7740.0
269,2002-07-01,7737.0
270,2002-08-01,7744.0
271,2002-09-01,7763.0
272,2002-10-01,7803.0
273,2002-11-01,7821.0
274,2002-12-01,7818.0
275,2003-01-01,7816.0
276,2003-02-01,7815.0
277,2003-03-01,7838.0
278,2003-04-01,7843.0
279,2003-05-01,7965.0
280,2003-06-01,7981.0
281,2003-07-01,7984.0
282,2003-08-01,7974.0
283,2003-09-01,7989.0
284,2003-10-01,7980.0
285,2003-11-01,7969.0
286,2003-12-01,7952.0
287,2004-01-01,7982.0
288,2004-02-01,7987.0
289,2004-03-01,7995.0
290,2004-04-01,8002.0
291,2004-05-01,8031.0
292,2004-06-01,8038.0
293,2004-07-01,8013.0
294,2004-08-01,8057.0
295,2004-09-01,8089.0
296,2004-10-01,8094.0
297,2004-11-01,8107.0
298,2004-12-01,8121.0
299,2005-01-01,8148.0
300,2005-02-01,8161.0
301,2005-03-01,8163.0
302,2005-04-01,8188.0
303,2005-05-01,8185.0
304,2005-06-01,8202.0
305,2005-07-01,8229.0
306,2005-08-01,8242.0
307,2005-09-01,8255.0
308,2005-10-01,8288.0
309,2005-11-01,8305.0
310,2005-12-01,8316.0
311,2006-01-01,8245.0
312,2006-02-01,8266.0
313,2006-03-01,8281.0
314,2006-04-01,8313.0
315,2006-05-01,8322.0
316,2006-06-01,8320.0
317,2006-07-01,8316.0
318,2006-08-01,8334.0
319,2006-09-01,8347.0
320,2006-10-01,8361.0
321,2006-11-01,8371.0
322,2006-12-01,8376.0
323,2007-01-01,8438.0
324,2007-02-01,8450.0
325,2007-03-01,8451.0
326,2007-04-01,8435.0
327,2007-05-01,8440.0
328,2007-06-01,8465.0
329,2007-07-01,8489.0
330,2007-08-01,8484.0
331,2007-09-01,8448.0
332,2007-10-01,8452.0
333,2007-11-01,8417.0
334,2007-12-01,8417.0
335,2008-01-01,8257.0
336,2008-02-01,8232.0
337,2008-03-01,8228.0
338,2008-04-01,8230.0
339,2008-05-01,8231.0
340,2008-06-01,8216.0
341,2008-07-01,8213.0
342,2008-08-01,8207.0
343,2008-09-01,8184.0
344,2008-10-01,8156.0
345,2008-11-01,8110.0
346,2008-12-01,8104.0
347,2009-01-01,7974.0
348,2009-02-01,7914.0
349,2009-03-01,7867.0
350,2009-04-01,7815.0
351,2009-05-01,7782.0
352,2009-06-01,7754.0
353,2009-07-01,7742.0
354,2009-08-01,7706.0
355,2009-09-01,7702.0
356,2009-10-01,7697.0
357,2009-11-01,7683.0
358,2009-12-01,7695.0
359,2010-01-01,7643.0
360,2010-02-01,7634.0
361,2010-03-01,7599.0
362,2010-04-01,7611.0
363,2010-05-01,7599.0
364,2010-06-01,7584.0
365,2010-07-01,7573.0
366,2010-08-01,7576.0
367,2010-09-01,7577.0
368,2010-10-01,7575.0
369,2010-11-01,7573.0
370,2010-12-01,7585.0
371,2011-01-01,7606.0
372,2011-02-01,7608.0
373,2011-03-01,7610.0
374,2011-04-01,7615.0
375,2011-05-01,7612.0
376,2011-06-01,7611.0
377,2011-07-01,7603.0
378,2011-08-01,7605.0
379,2011-09-01,7603.0
380,2011-10-01,7611.0
381,2011-11-01,7626.0
382,2011-12-01,7624.0
383,2012-01-01,7690.0
384,2012-02-01,7701.0
385,2012-03-01,7721.0
386,2012-04-01,7719.0
387,2012-05-01,7724.0
388,2012-06-01,7737.0
389,2012-07-01,7738.0
390,2012-08-01,7742.0
391,2012-09-01,7758.0
392,2012-10-01,7763.0
393,2012-11-01,7765.0
394,2012-12-01,7776.0
395,2013-01-01,7837.0
396,2013-02-01,7844.0
397,2013-03-01,7844.0
398,2013-04-01,7867.0
399,2013-05-01,7872.0
400,2013-06-01,7896.0
401,2013-07-01,7908.0
402,2013-08-01,7903.0
403,2013-09-01,7900.0
404,2013-10-01,7910.0
405,2013-11-01,7905.0
406,2013-12-01,7915.0
407,2014-01-01,7900.0
408,2014-02-01,7908.0
409,2014-03-01,7910.0
410,2014-04-01,7916.0
411,2014-05-01,7919.0
412,2014-06-01,7944.0
413,2014-07-01,7951.0
414,2014-08-01,7963.0
415,2014-09-01,7985.0
416,2014-10-01,7988.0
417,2014-11-01,8013.0
418,2014-12-01,8022.0
419,2015-01-01,8077.0
420,2015-02-01,8081.0
421,2015-03-01,8083.0
422,2015-04-01,8093.0
423,2015-05-01,8111.0
424,2015-06-01,8127.0
425,2015-07-01,8140.0
426,2015-08-01,8167.0
427,2015-09-01,8154.0
428,2015-10-01,8161.0
429,2015-11-01,8183.0
430,2015-12-01,8196.0
431,2016-01-01,8210.0
432,2016-02-01,8212.0
433,2016-03-01,8227.0
434,2016-04-01,8249.0
435,2016-05-01,8255.0
436,2016-06-01,8280.0
437,2016-07-01,8299.0
438,2016-08-01,8317.0
439,2016-09-01,8319.0
440,2016-10-01,8336.0
441,2016-11-01,8335.0
442,2016-12-01,8349.0
443,2017-01-01,8397.0
444,2017-02-01,8403.0
445,2017-03-01,8409.0
446,2017-04-01,8422.0
447,2017-05-01,8428.0
448,2017-06-01,8449.0
449,2017-07-01,8448.0
450,2017-08-01,8464.0
451,2017-09-01,8473.0
452,2017-10-01,8483.0
453,2017-11-01,8492.0
454,2017-12-01,8498.0
455,2018-01-01,8518.0
456,2018-02-01,8547.0
457,2018-03-01,8546.0
458,2018-04-01,8549.0
459,2018-05-01,8559.0
460,2018-06-01,8576.0
461,2018-07-01,8568.0
462,2018-08-01,8588.0
463,2018-09-01,8603.0
464,2018-10-01,8609.0
465,2018-11-01,8622.0
466,2018-12-01,8621.0
467,2019-01-01,8631.0
468,2019-02-01,8630.0
469,2019-03-01,8638.0
470,2019-04-01,8651.0
471,2019-05-01,8652.0
472,2019-06-01,8655.0
473,2019-07-01,8677.0
474,2019-08-01,8694.0
475,2019-09-01,8696.0
476,2019-10-01,8719.0
477,2019-11-01,8730.0
478,2019-12-01,8737.0
479,2020-01-01,8808.0
480,2020-02-01,8850.0
481,2020-03-01,8853.0
482,2020-04-01,8580.0
483,2020-05-01,8596.0
484,2020-06-01,8608.0
485,2020-07-01,8629.0
486,2020-08-01,8654.0
487,2020-09-01,8683.0
488,2020-10-01,8716.0
489,2020-11-01,8730.0
490,2020-12-01,8743.0
491,2021-01-01,8782.0
492,2021-02-01,8770.0
493,2021-03-01,8788.0
494,2021-04-01,8812.0
495,2021-05-01,8802.0
496,2021-06-01,8800.0
497,2021-07-01,8827.0
498,2021-08-01,8846.0
499,2021-09-01,8850.0
500,2021-10-01,8882.0
501,2021-11-01,8905.0
502,2021-12-01,8919.0
503,2022-01-01,8875.0
504,2022-02-01,8901.0
505,2022-03-01,8911.0
506,2022-04-01,8941.0
507,2022-05-01,8948.0
508,2022-06-01,8951.0
509,2022-07-01,8965.0
510,2022-08-01,8981.0
511,2022-09-01,8957.0
512,2022-10-01,8971.0
513,2022-11-01,8997.0
514,2022-12-01,8997.0
515,2023-01-01,9114.0
516,2023-02-01,9105.0
517,2023-03-01,9098.0
518,2023-04-01,9122.0
519,2023-05-01,9130.0
520,2023-06-01,9144.0
774,,
