,date,value_og
62,1985-04-01,
63,1985-05-01,
64,1985-06-01,
65,1985-07-01,
66,1985-08-01,
67,1985-09-01,
68,1985-10-01,
69,1985-11-01,
70,1985-12-01,
71,1986-01-01,
72,1986-02-01,
73,1986-03-01,
74,1986-04-01,
75,1986-05-01,
76,1986-06-01,
77,1986-07-01,
78,1986-08-01,
79,1986-09-01,
80,1986-10-01,
81,1986-11-01,
82,1986-12-01,
83,1987-01-01,
84,1987-02-01,
85,1987-03-01,
86,1987-04-01,
87,1987-05-01,
88,1987-06-01,
89,1987-07-01,
90,1987-08-01,
91,1987-09-01,
92,1987-10-01,
93,1987-11-01,
94,1987-12-01,
95,1988-01-01,
96,1988-02-01,
97,1988-03-01,
98,1988-04-01,
99,1988-05-01,
100,1988-06-01,
101,1988-07-01,
102,1988-08-01,
103,1988-09-01,
104,1988-10-01,
105,1988-11-01,
106,1988-12-01,
107,1989-01-01,
108,1989-02-01,
109,1989-03-01,
110,1989-04-01,
111,1989-05-01,
112,1989-06-01,
113,1989-07-01,
114,1989-08-01,
115,1989-09-01,
116,1989-10-01,
117,1989-11-01,
118,1989-12-01,
119,1990-01-01,
120,1990-02-01,
121,1990-03-01,
122,1990-04-01,
123,1990-05-01,
124,1990-06-01,
125,1990-07-01,
126,1990-08-01,
127,1990-09-01,
128,1990-10-01,
129,1990-11-01,
130,1990-12-01,
131,1991-01-01,
132,1991-02-01,
133,1991-03-01,
134,1991-04-01,
135,1991-05-01,
136,1991-06-01,
137,1991-07-01,
138,1991-08-01,
139,1991-09-01,
140,1991-10-01,
141,1991-11-01,
142,1991-12-01,
143,1992-01-01,
144,1992-02-01,
145,1992-03-01,
146,1992-04-01,
147,1992-05-01,
148,1992-06-01,
149,1992-07-01,
150,1992-08-01,
151,1992-09-01,
152,1992-10-01,
153,1992-11-01,
154,1992-12-01,
155,1993-01-01,
156,1993-02-01,
157,1993-03-01,
158,1993-04-01,
159,1993-05-01,
160,1993-06-01,
161,1993-07-01,
162,1993-08-01,
163,1993-09-01,
164,1993-10-01,
165,1993-11-01,
166,1993-12-01,
167,1994-01-01,
168,1994-02-01,
169,1994-03-01,
170,1994-04-01,
171,1994-05-01,
172,1994-06-01,
173,1994-07-01,
174,1994-08-01,
175,1994-09-01,
176,1994-10-01,
177,1994-11-01,
178,1994-12-01,
179,1995-01-01,
180,1995-02-01,
181,1995-03-01,
182,1995-04-01,
183,1995-05-01,
184,1995-06-01,
185,1995-07-01,
186,1995-08-01,
187,1995-09-01,
188,1995-10-01,
189,1995-11-01,
190,1995-12-01,
191,1996-01-01,
192,1996-02-01,
193,1996-03-01,
194,1996-04-01,
195,1996-05-01,
196,1996-06-01,
197,1996-07-01,
198,1996-08-01,
199,1996-09-01,
200,1996-10-01,
201,1996-11-01,
202,1996-12-01,
203,1997-01-01,
204,1997-02-01,1.36
205,1997-03-01,1.37
206,1997-04-01,1.37
207,1997-05-01,1.37
208,1997-06-01,1.37
209,1997-07-01,1.36
210,1997-08-01,1.37
211,1997-09-01,1.36
212,1997-10-01,1.37
213,1997-11-01,1.38
214,1997-12-01,1.37
215,1998-01-01,1.37
216,1998-02-01,1.37
217,1998-03-01,1.37
218,1998-04-01,1.38
219,1998-05-01,1.38
220,1998-06-01,1.38
221,1998-07-01,1.38
222,1998-08-01,1.39
223,1998-09-01,1.39
224,1998-10-01,1.39
225,1998-11-01,1.39
226,1998-12-01,1.37
227,1999-01-01,1.38
228,1999-02-01,1.37
229,1999-03-01,1.35
230,1999-04-01,1.36
231,1999-05-01,1.34
232,1999-06-01,1.34
233,1999-07-01,1.34
234,1999-08-01,1.32
235,1999-09-01,1.33
236,1999-10-01,1.33
237,1999-11-01,1.33
238,1999-12-01,1.32
239,2000-01-01,1.31
240,2000-02-01,1.32
241,2000-03-01,1.31
242,2000-04-01,1.32
243,2000-05-01,1.32
244,2000-06-01,1.32
245,2000-07-01,1.33
246,2000-08-01,1.34
247,2000-09-01,1.33
248,2000-10-01,1.35
249,2000-11-01,1.36
250,2000-12-01,1.36
251,2001-01-01,1.37
252,2001-02-01,1.37
