symbol,name,currency,market,exchange,exchange timezone
^CXKBX,DAXSECTOR BANKS KURSINDEX,EUR,de_market,GER,CEST
^CXKCX,DAXSECTOR CHEMICALS PR,EUR,de_market,GER,CEST
^CXKDX,DAXSECTOR MEDIA PR,EUR,de_market,GER,CEST
^CXKHX,DAXSEC. TECHNOLOGY PR,EUR,de_market,GER,CEST
^CXKIX,DAXSECTOR INSURANCE PR,EUR,de_market,GER,CEST
^CXKLX,DAXSEC.TRANSP.+LOG.PR,EUR,de_market,GER,CEST
^CXKNX,DAXSECTOR INDUS.PR,EUR,de_market,GER,CEST
^CXKPX,DAXSEC.PHA.+HEALTHC.PR,EUR,de_market,GER,CEST
^CXKRX,DAXSECTOR RETAIL PR,EUR,de_market,GER,CEST
^CXKSX,DAXSECTOR SOFTWARE PR,EUR,de_market,GER,CEST
^CXKTX,DAXSECTOR TELECOMM.PR,EUR,de_market,GER,CEST
^CXKUX,DAXSECTOR UTILITIES PR,EUR,de_market,GER,CEST
^CXKVX,DAXSEC.FIN.SERV. PR,EUR,de_market,GER,CEST
^CXKYX,DAXSECTOR CONSUMER PR,EUR,de_market,GER,CEST
^CXPAX,DAXSECTOR AUTOMOB.TR,EUR,de_market,GER,CEST
^CXPBX,DAXSECTOR BANKS TR,EUR,de_market,GER,CEST
^CXPCX,DAXSECTOR CHEMICALS TR,EUR,de_market,GER,CEST
^CXPDX,DAXSECTOR MEDIA TR,EUR,de_market,GER,CEST
^CXPHX,DAXSEC. TECHNOLOGY TR,EUR,de_market,GER,CEST
^CXPIX,DAXSECTOR INSURANCE TR,EUR,de_market,GER,CEST
^CXPLX,DAXSEC.TRANSP.+LOG.TR,EUR,de_market,GER,CEST
^CXPNX,DAXSECTOR INDUSTR. TR,EUR,de_market,GER,CEST
^CXPPX,DAXSEC.PHA.+HEALTHC.TR,EUR,de_market,GER,CEST
^CXPRX,DAXSECTOR RETAIL TR,EUR,de_market,GER,CEST
^CXPSX,DAXSECTOR SOFTWARE TR,EUR,de_market,GER,CEST
^CXPTX,DAXSECTOR TELECOMM.TR,EUR,de_market,GER,CEST
^CXPUX,DAXSECTOR UTILITIES TR,EUR,de_market,GER,CEST
^CXPVX,DAXSEC.FIN.SERV. TR,EUR,de_market,GER,CEST
^CXPYX,DAXSECTOR CONSUMER TR,EUR,de_market,GER,CEST
^DAXR,S&P CoreLogic Case-Shiller Dall,USD,us_market,SNP,EDT
^DBJA-IV,,USD,us_market,ASE,EDT
^DBOC-IV,,USD,us_market,ASE,EDT
^DCPLBKT,,USD,us_market,SNP,EDT
^DCPLIBKT,,USD,us_market,SNP,EDT
^DECZ-IV,,USD,us_market,ASE,EDT
^DEMZPR,,USD,us_market,SNP,EDT
^DEXR,S&P CoreLogic Case-Shiller Detr,USD,us_market,SNP,EDT
^DIVQ,NASDAQ Dividend Achievers,USD,us_market,NIM,EDT
^DJA,Dow Jones Composite Average,USD,us_market,DJI,EDT
^DJAT,Dow Jones Asian Titans 50 Index,USD,us_market,DJI,EDT
^DJAU,Dow Jones Australia Index,AUD,us_market,DJI,EDT
^DJGSP,Dow Jones Precious Metals Index,USD,us_market,DJI,EDT
^DJI,Dow Jones Industrial Average,USD,us_market,DJI,EDT
^DJR,DOW JONES EQUITY REIT INDEX,USD,us_market,WCB,EDT
^DJT,Dow Jones Transportation Averag,USD,us_market,DJI,EDT
^DJU,Dow Jones Utility Average,USD,us_market,DJI,EDT
^DJUS,Dow Jones U.S. Index,USD,us_market,DJI,EDT
^DJUSL,Dow Jones U.S. Large-Cap Index,USD,us_market,DJI,EDT
^DJUSM,Dow Jones U.S. Mid-Cap Index,USD,us_market,DJI,EDT
^DJUSS,Dow Jones U.S. Small-Cap Index,USD,us_market,DJI,EDT
^DJUSST,Dow Jones U.S. Iron & Steel Ind,USD,us_market,DJI,EDT
^DJUSTT,Dow Jones U.S. Travel & Tourism,USD,us_market,DJI,EDT
^DOCT-IV,,USD,us_market,ASE,EDT
^DRG,NYSE Arca Pharmaceutical Index,USD,us_market,NYS,EDT
^DSEP-IV,,USD,us_market,ASE,EDT
^DSJA-IV,,USD,us_market,ASE,EDT
^DSOC-IV,,USD,us_market,ASE,EDT
^DWCOGS,Dow Jones U.S. Oil & Gas Total ,USD,us_market,DJI,EDT
^DWCPF,Dow Jones U.S. Completion Total,USD,us_market,DJI,EDT
^DWMI,Dow Jones U.S. Micro-Cap Total ,USD,us_market,DJI,EDT
^DWSH-IV,,USD,us_market,ASE,EDT
^DXS,SPADE Defense Index,USD,us_market,NYS,EDT
^EAPR-IV,,USD,us_market,ASE,EDT
^EAPRIV,,USD,us_market,ASE,EDT
^EASG-EU,,USD,us_market,ASE,EDT
^EASG-IV,,USD,us_market,ASE,EDT
^EASG-NV,,USD,us_market,ASE,EDT
^EASG-TC,,USD,us_market,ASE,EDT
^EAVOL,,USD,us_market,WCB,EDT
^EBCIENEU,,EUR,us_market,SNP,EDT
^EEMD-EU,,USD,us_market,ASE,EDT
^EEMD-IV,,USD,us_market,ASE,EDT
^EEMD-NV,,USD,us_market,ASE,EDT
^EEMD-TC,,USD,us_market,ASE,EDT
^EGWESG,,USD,us_market,SNP,EDT
^EGWESGNT,,USD,us_market,SNP,EDT
